Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Bolivia,BOL,6866991209,6880979405,7141774718,7553517850,8882072874,10157311638,13518051314,14474311886,16006353000,19043045220,21009882447,23858089977,26382781259,28016342092,29236215907,31368792516,33611215136,34601838144,31243756926,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Bosnia and Herzegovina,BIH,6502330800,8001232114,9951308591,10480912477,11875297972,14197200232,17473974496,15968866460,15011379633,15885437525,14383689146,15312693514,15366942756,13450264320,14066684518,15039487252,16803438967,16925594293,16598550968,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Botswana,BWA,4081416286,5184780571,6016155660,7119711167,7038657407,7581490664,7626576462,7552161112,9202620037,11858048667,10946280131,10906792925,12330874406,10896306679,11864599956,12708641492,13212532826,12801736450,11794929189,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,4.33476E+11,4.75296E+11,5.65379E+11,7.52405E+11,9.39516E+11,1.1907E+12,1.42424E+12,1.43592E+12,1.86124E+12,2.211E+12,2.09069E+12,2.13458E+12,2.1102E+12,1.56337E+12,1.55775E+12,1.78213E+12,1.6262E+12,1.60226E+12,1.23309E+12,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brunei Darussalam,BRN,4481335642,4922853088,5672575204,6494296892,7596996243,8927393342,10344730841,8225690807,10273753413,12513468302,13399429744,13590144768,13266413328,10926361992,10191288384,10351474935,10106674254,10598249212,9770035507,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Bulgaria,BGR,14557842253,18436966273,22722347682,25444092632,28381787107,34809537106,44756299843,42877991214,41562995085,47089955334,45605708589,46652279994,47988549384,41775433725,44464117680,49326559297,54482089393,57001320707,58523777565,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Burkina Faso,BFA,3351244908,4382827465,5021121712,5640503482,6012086801,7004137838,8614477732,8434362088,8677201105,10009602637,10801583106,11617976228,11920921047,10197295033,11105521186,12195494854,13834854595,13670353375,14663660244,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Burundi,BDI,480162710.2,326111627.7,464024055.5,618138258.4,770885494.1,711727491.7,845147363.4,972517066.5,1255369369,1358427262,1600427745,1716885593,1898325412,2227020039,1882760712,1869717163,1955690482,1910726313,2063862336,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Cabo Verde,CPV,525137206.6,694238352.1,786276065.1,810029757.5,914655002.1,1283265331,1486833222,1445822176,1365795761,1544169635,1451281160,1558015800,1543716078,1341988711,1400975584,1488025192,1677416760,1692359918,1438860795,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Cambodia,KHM,3786831733,4136209389,4718206002,5567489462,6425671112,7685603398,9176496842,9086263058,9759328101,11146228237,12151844172,13288174708,14298247841,15283173041,16872080482,18598882699,20428535255,22749428250,22065187043,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Cameroon,CMR,9911518289,13068847280,15602104867,15632808731,16744883838,18859731450,21355261083,22607750127,21657368966,23721741641,23148013434,26342037969,28931158676,25952597364,27412187165,29048309393,32241303640,32082428566,33692622626,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Canada,CAN,6.09873E+11,7.26623E+11,8.27894E+11,9.54687E+11,1.08113E+12,1.20535E+12,1.25878E+12,1.1089E+12,1.31919E+12,1.46352E+12,1.49618E+12,1.51072E+12,1.47842E+12,1.25939E+12,1.23965E+12,1.35057E+12,1.3949E+12,1.42142E+12,1.33226E+12,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Central African Republic,CAF,900326632.6,1040707461,1155977284,1227008626,1344506379,1566598584,1811501186,1884863776,1948415032,2167218258,2222615008,1403093334,1539530226,1394256431,1506109388,1780675764,1919677728,1918026099,1936268401,..
