,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,Bulgaria,BGR,14557842253.0,18436966273.0,22722347682.0,25444092632.0,28381787107.0,34809537106.0,44756299843.0,42877991214.0,41562995085.0,47089955334.0,45605708589.0,46652279994.0,47988549384.0,41775433725.0,44464117680.0,49326559297.0,54482089393.0,57001320707.0
30,Burkina Faso,BFA,3351244908.0,4382827465.0,5021121712.0,5640503482.0,6012086801.0,7004137838.0,8614477732.0,8434362088.0,8677201105.0,10009602637.0,10801583106.0,11617976228.0,11920921047.0,10197295033.0,11105521186.0,12195494854.0,13834854595.0,13670353375.0
31,Burundi,BDI,480162710.2,326111627.7,464024055.5,618138258.4,770885494.1,711727491.7,845147363.4,972517066.5,1255369369.0,1358427262.0,1600427745.0,1716885593.0,1898325412.0,2227020039.0,1882760712.0,1869717163.0,1955690482.0,1910726313.0
32,Cabo Verde,CPV,525137206.6,694238352.1,786276065.1,810029757.5,914655002.1,1283265331.0,1486833222.0,1445822176.0,1365795761.0,1544169635.0,1451281160.0,1558015800.0,1543716078.0,1341988711.0,1400975584.0,1488025192.0,1677416760.0,1692359918.0
33,Cambodia,KHM,3786831733.0,4136209389.0,4718206002.0,5567489462.0,6425671112.0,7685603398.0,9176496842.0,9086263058.0,9759328101.0,11146228237.0,12151844172.0,13288174708.0,14298247841.0,15283173041.0,16872080482.0,18598882699.0,20428535255.0,22749428250.0
34,Cameroon,CMR,9911518289.0,13068847280.0,15602104867.0,15632808731.0,16744883838.0,18859731450.0,21355261083.0,22607750127.0,21657368966.0,23721741641.0,23148013434.0,26342037969.0,28931158676.0,25952597364.0,27412187165.0,29048309393.0,32241303640.0,32082428566.0
35,Canada,CAN,609873000000.0,726623000000.0,827894000000.0,954687000000.0,1081130000000.0,1205350000000.0,1258780000000.0,1108900000000.0,1319190000000.0,1463520000000.0,1496180000000.0,1510720000000.0,1478420000000.0,1259390000000.0,1239650000000.0,1350570000000.0,1394900000000.0,1421420000000.0
37,Central African Republic,CAF,900326632.6,1040707461.0,1155977284.0,1227008626.0,1344506379.0,1566598584.0,1811501186.0,1884863776.0,1948415032.0,2167218258.0,2222615008.0,1403093334.0,1539530226.0,1394256431.0,1506109388.0,1780675764.0,1919677728.0,1918026099.0
38,Chad,TCD,1642178470.0,1786960117.0,2148689588.0,3498815435.0,3919435631.0,4965668861.0,5641235016.0,6851462221.0,7788358534.0,8517557022.0,8826418419.0,9208867308.0,10014725095.0,8386630140.0,7632259423.0,6802863734.0,7958117004.0,8147213441.0
40,Chile,CHL,56843992495.0,59203000902.0,72495314503.0,89113727409.0,99948911060.0,114102000000.0,128852000000.0,130168000000.0,161407000000.0,189257000000.0,208308000000.0,217816000000.0,209608000000.0,201859000000.0,201499000000.0,217178000000.0,227582000000.0,217037000000.0
41,China,CHN,1241880000000.0,1399750000000.0,1620310000000.0,1871400000000.0,2245590000000.0,2875140000000.0,3601120000000.0,4072050000000.0,4696930000000.0,5599480000000.0,6499920000000.0,7189140000000.0,7956650000000.0,8334240000000.0,8529210000000.0,9375280000000.0,10350100000000.0,10622600000000.0
42,Colombia,COL,79387666166.0,75468038824.0,92704036322.0,116434000000.0,128138000000.0,165614000000.0,190747000000.0,188129000000.0,227566000000.0,258085000000.0,289205000000.0,301031000000.0,305891000000.0,245688000000.0,239555000000.0,259451000000.0,274061000000.0,266333000000.0
43,Comoros,COM,389152409.1,497796662.6,579024523.4,599693459.1,641722028.7,726914155.5,834454256.8,826598949.2,825863760.1,926757660.9,915280326.5,1006904786.0,1035479219.0,869303508.6,913985655.8,976666219.1,1079959821.0,1066950356.0
44,"Congo, Dem. Rep.",COD,5793699490.0,5180599023.0,6661806926.0,7934152878.0,10112780638.0,11037078946.0,12153861802.0,11744676355.0,14599970115.0,17003233225.0,19348013696.0,21908947966.0,22931974400.0,25498399018.0,26895322705.0,27415325666.0,36230926635.0,41419495907.0
45,"Congo, Rep.",COG,574464035.8,923435807.4,747142834.6,1254538147.0,1787843831.0,2653271153.0,3254989956.0,4198880396.0,4934397805.0,4513320469.0,7372715215.0,9821322102.0,10940629530.0,7921963934.0,6470962464.0,4879926970.0,4712710102.0,3442036142.0
46,Costa Rica,CRI,14828859924.0,15450730214.0,16700878834.0,17998406508.0,20669686959.0,24641165365.0,28501127077.0,27919626881.0,34264403149.0,38828854993.0,43147195938.0,46371441454.0,47156778648.0,51113901567.0,53320894309.0,54101224298.0,55689712655.0,56768351250.0
47,Cote d'Ivoire,CIV,10081303953.0,12236232045.0,13714965167.0,14980682487.0,15345620522.0,17887117379.0,21350135354.0,21879126591.0,22579947339.0,22512480581.0,24359066396.0,28252859643.0,33234851299.0,43321638909.0,44753111477.0,47677685551.0,53506647160.0,54376379534.0
48,Croatia,HRV,22008593690.0,27806315652.0,33768076057.0,37774337640.0,41453537052.0,49540326060.0,57132115296.0,49853427967.0,47877738661.0,50280594996.0,45644341527.0,48107944210.0,47631932698.0,41917935646.0,42606892332.0,46650790624.0,51808703413.0,51948450711.0
51,Cyprus,CYP,9446983022.0,12223373126.0,14291333088.0,15318517848.0,16655696818.0,19741633426.0,24201889566.0,22789169997.0,22241936690.0,24932444198.0,21665551003.0,20374326428.0,19318689094.0,17036023390.0,17485823873.0,19458851582.0,21562723348.0,21501178248.0
52,Czechia,CZE,61847799005.0,75492261240.0,89164397399.0,103579000000.0,116304000000.0,140855000000.0,174276000000.0,149518000000.0,148657000000.0,161991000000.0,150189000000.0,152263000000.0,150437000000.0,135950000000.0,142456000000.0,161932000000.0,185166000000.0,186271000000.0
53,Denmark,DNK,143792000000.0,176060000000.0,205850000000.0,218484000000.0,234402000000.0,261919000000.0,286485000000.0,262255000000.0,266061000000.0,285373000000.0,272950000000.0,290823000000.0,303434000000.0,260236000000.0,268192000000.0,283260000000.0,306187000000.0,298859000000.0
54,Djibouti,DJI,582058696.4,615652160.3,656032824.2,692369724.4,742990795.7,789854923.9,913758146.6,902769131.9,902109702.2,1012788862.0,1113441160.0,1579259563.0,1862422122.0,2086282013.0,2151017296.0,2203893381.0,2536692718.0,2844089801.0
55,Dominica,DMA,282204246.2,292864781.5,307065924.7,307168907.0,342166016.5,363893311.4,395733825.7,411145087.6,412451459.9,400709489.0,390416329.4,393811691.8,475405272.1,437023664.9,479619344.6,433378236.6,469125014.9,509670177.9
56,Dominican Republic,DOM,25248918619.0,18942584529.0,19278376423.0,32205605485.0,33968725822.0,39148815819.0,44369976449.0,44550378228.0,49567129607.0,53218925204.0,55575154940.0,56448899016.0,60363809076.0,64843780695.0,68596171045.0,71757805344.0,76692163992.0,79217838517.0
57,Ecuador,ECU,22339436796.0,25412069599.0,27241786346.0,30125253239.0,33634397769.0,37016990857.0,45375516495.0,49751655951.0,54658793198.0,61537315195.0,69293934238.0,76064556551.0,80912349392.0,80339165388.0,79911381321.0,82357698986.0,82527788259.0,82010491811.0
58,"Egypt, Arab Rep.",EGY,75878062209.0,70508404766.0,67376105633.0,74906877152.0,90440919472.0,111804000000.0,135790000000.0,164265000000.0,186886000000.0,195885000000.0,238265000000.0,246859000000.0,264685000000.0,297828000000.0,300722000000.0,207382000000.0,216082000000.0,262395000000.0
59,El Salvador,SLV,11468953812.0,11873661577.0,12207391354.0,13094560447.0,14273580427.0,15077468716.0,15870655165.0,15222620958.0,15990497796.0,17766590247.0,18257255396.0,18427419161.0,18855262246.0,19474788234.0,19884298324.0,20283719303.0,20871211212.0,21799043847.0
62,Estonia,EST,6086721374.0,8066920937.0,9892219716.0,11663718123.0,13917101446.0,17829378541.0,19329663109.0,15553609001.0,15124462111.0,18230610579.0,18367583014.0,20361095251.0,21624988102.0,18680645515.0,19789600872.0,21971181922.0,25232300816.0,25802212077.0
63,Eswatini,SWZ,1214838882.0,1845587598.0,2393583417.0,2934171695.0,2868118847.0,3025514755.0,2818031315.0,2996783097.0,3593086199.0,3854964887.0,3880064035.0,3758304240.0,3612161568.0,3300056599.0,3004549695.0,3433940007.0,3676495567.0,3376562324.0
64,Ethiopia,ETH,5369008253.0,4718216119.0,6420276583.0,8480313015.0,10957806888.0,13666409171.0,19558295364.0,23931225885.0,22242321778.0,23199284862.0,31908331623.0,35392518786.0,42506229501.0,49524961108.0,58233565857.0,65207757638.0,70976161094.0,81877685968.0
66,Fiji,FJI,1668991467.0,2058431120.0,2456823376.0,2726952220.0,2645826567.0,2988219977.0,3135736205.0,2605111933.0,2744978995.0,3169228055.0,3311578365.0,3616584720.0,3984109484.0,3759685285.0,4014658180.0,4217998705.0,4474530988.0,4296939797.0
67,Finland,FIN,116033000000.0,140517000000.0,164916000000.0,169839000000.0,180662000000.0,212408000000.0,233837000000.0,206734000000.0,204892000000.0,224704000000.0,210236000000.0,219654000000.0,224407000000.0,192618000000.0,196815000000.0,207812000000.0,225589000000.0,219054000000.0
68,France,FRA,1275990000000.0,1568070000000.0,1812170000000.0,1873710000000.0,1977610000000.0,2268680000000.0,2478370000000.0,2269270000000.0,2231200000000.0,2429480000000.0,2256570000000.0,2363340000000.0,2395990000000.0,2054910000000.0,2077290000000.0,2182930000000.0,2342260000000.0,2286390000000.0
70,Gabon,GAB,3040991267.0,3623369607.0,3644962868.0,4502960184.0,4529625635.0,5404643779.0,6367052321.0,6603226582.0,7183847378.0,8375580793.0,8620332404.0,9457421493.0,11257078543.0,9617536955.0,9420530392.0,9449622801.0,10363767952.0,9981301610.0
71,"Gambia, The",GMB,436776498.7,359012085.8,773855953.0,827345782.6,836960983.2,1013622577.0,1223011508.0,1120779258.0,1186702278.0,1026848708.0,1008181037.0,985404242.1,888674680.6,989198189.5,1051242356.0,1077043775.0,1288159521.0,1387800887.0
72,Georgia,GEO,2926252386.0,3420334523.0,4503296928.0,5630023755.0,6883640724.0,8864253235.0,11094598705.0,9281461691.0,10276252181.0,12585699845.0,14039834456.0,14515031914.0,15023697714.0,12416581202.0,12149645126.0,13075476398.0,14400668790.0,14148857743.0
73,Germany,DEU,1695060000000.0,2039540000000.0,2348110000000.0,2378310000000.0,2532140000000.0,2888410000000.0,3119200000000.0,2838910000000.0,2844810000000.0,3172480000000.0,2970340000000.0,3141430000000.0,3262740000000.0,2826440000000.0,2930920000000.0,3114280000000.0,3378100000000.0,3292400000000.0
74,Ghana,GHA,4633033570.0,5530893972.0,6712215129.0,8355764816.0,16855029865.0,20272452545.0,23485959967.0,21088072020.0,25851318317.0,29447615637.0,30078679380.0,49539143375.0,40903460500.0,38453987035.0,43908218459.0,46048137752.0,51946491157.0,52946920255.0
