,Country Name,Country Code,NetIncomeMean,GdpMean,InflMean,LifeExpMean,SuicideMean,UnempMean
54,Germany,DEU,3108428000000.0,3676192000000.0,671518000001.0358,80.96195122,12.82,3.8019999982
55,Ghana,GHA,46660750931.6,60322988545.4,9881313695.555792,63.988,6.94,5.029799938200001
56,Guatemala,GTM,59588092018.4,70078498341.8,12437237318.464964,72.5728,5.8,2.4039999960000005
57,Guinea-Bissau,GNB,1063349586.48,1304336052.4,209645926.564432,60.0504,7.219999999999999,5.964999961999999
58,Guyana,GUY,4169418190.2,4694421658.8,855968040.0221475,68.65439999999998,38.7,13.686800004
59,Haiti,HTI,14213948510.6,15019456464.0,2966630905.073638,63.7514,9.760000000000002,13.907799911999998
60,Honduras,HND,20002130211.8,22998275597.4,4195953560.074439,72.69239999999999,2.44,5.9520000456
61,Hungary,HUN,115210503166.8,144290000000.0,25034800001.78637,75.966829268,18.08,4.6420000076
62,India,IND,2203988000000.0,2516868000000.0,420718000003.1889,70.36799999999998,12.34,5.3631999018
63,Indonesia,IDN,783160000000.0,993944200000.0,172170800002.7127,70.0578,2.4,4.142000102999999
64,"Iran, Islamic Rep.",IRN,279916000000.0,393645400000.0,81642600014.64236,75.7986,5.88,11.789999771999998
65,Iraq,IRQ,151715600000.0,196319400000.0,33354800000.181805,70.3862,3.86,12.078800009999998
66,Ireland,IRL,187071400000.0,342460600000.0,58355000000.35524,82.034146342,9.760000000000002,7.1359998702
67,Israel,ISR,301315000000.0,352585000000.0,60682800000.27207,82.523414632,5.1,4.4139999866
68,Italy,ITA,1614248000000.0,1955748000000.0,367328000000.5763,83.115609756,6.839999999999999,11.0719997418
69,Jamaica,JAM,13281619510.4,14927319548.2,2837787192.474232,71.977,2.28,11.0240000716
70,Japan,JPN,3849524000000.0,4908122000000.0,888986000000.363,84.089170732,17.119999999999997,2.8200000284
71,Jordan,JOR,38633817007.2,41690571585.8,7717403590.353857,75.50919999999999,1.5399999999999998,16.315999794
72,Kazakhstan,KAZ,121516800000.0,169895800000.0,36877600006.65013,72.732,20.46,4.8880000114
73,Kenya,KEN,67954859316.8,83910858366.6,14024082670.645712,62.431,5.720000000000001,3.6618000504
74,"Korea, Rep.",KOR,1300802000000.0,1593210000000.0,293154000000.95496,82.556097562,27.64,3.684000015
75,Kuwait,KWT,116402400000.0,123814600000.0,22913400001.40104,79.69019999999999,2.72,2.1778000356
76,Kyrgyz Republic,KGZ,5916211875.6,7667267983.6,1335635669.2480865,71.16048780400001,8.44,7.092800044800001
77,Lao PDR,LAO,12891989899.0,16858449915.0,2885276238.9570684,67.4086,5.56,0.8108000040000001
78,Latvia,LVA,23758424419.0,30920695717.0,5452618111.083372,74.77219511999999,20.5,8.3900000572
79,Lesotho,LSO,2222963714.8,2357681285.6,471951963.99661815,52.867,81.33999999999999,23.1538002
80,Lithuania,LTU,40263157694.6,48148900215.0,8287106669.93217,75.287317072,30.18,7.2920001032
81,Luxembourg,LUX,37046950231.4,65765330321.2,12014316844.25863,82.401463414,10.820000000000002,5.932000065
82,Madagascar,MDG,10297216789.4,12842529154.0,2264604171.5699105,65.1164,5.5,1.8235999822
83,Malawi,MWI,7006144857.6,8331168682.2,1274642539.2091043,62.7918,5.840000000000001,5.7901999474000005
