Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bulgaria,BGR,1831.100224,1373.518768,6242.322438,6421.409709,6642.990206,5819.933979,6238.107192,6971.018762,7755.416718,8171.340834,8440.099649,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burkina Faso,BFA,312.9369053,233.754575,631.1646756,658.7495723,656.0828128,544.7849494,576.1470436,614.8206372,678.4211503,652.4717887,681.3137135,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burundi,BDI,143.1432994,96.91047639,163.3843271,169.1583396,180.8805287,207.6059768,172.6776343,167.6035656,170.1566317,160.9054635,168.8890343,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cabo Verde,CPV,741.7788075,1001.955976,2718.44732,2885.53506,2826.925333,2430.408086,2508.937389,2633.887347,2936.643709,2932.880298,2469.553747,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cambodia,KHM,..,270.7184293,821.8124045,885.8970358,940.0052503,991.2858921,1079.841901,1174.86249,1274.772659,1403.614559,1345.695886,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cameroon,CMR,825.4701028,543.1500193,1100.573442,1217.686896,1297.38552,1127.75373,1156.065069,1190.837283,1285.705185,1244.356692,1271.847494,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Canada,CAN,17063.33203,19237.60666,43099.94654,43061.31072,41719.05248,35274.02034,34330.33179,36956.0805,37633.85946,37802.57819,35025.2728,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Central African Republic,CAF,446.2824406,218.5882406,465.6343021,292.1633254,320.8200801,289.3048541,307.1074695,356.3674332,376.7930564,368.1909781,362.3921305,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Chad,TCD,260.8989482,141.4820589,692.0018398,696.7564764,731.1552142,593.1023784,523.023126,450.9423335,509.9980713,505.1950851,451.0476486,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Chile,CHL,1854.51464,4082.509473,12011.90227,12439.5707,11850.90737,11295.91461,11142.45285,11823.33752,12169.23461,11399.32784,10252.96959,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,271.4413808,800.5824126,4799.854928,5273.57202,5799.901238,6039.919271,6145.894329,6714.785783,7378.394948,7545.859948,7572.281831,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Colombia,COL,1160.521708,2029.488327,6316.939017,6510.472691,6553.21575,5214.13076,5029.925374,5365.90629,5561.638957,5306.770945,4464.963409,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Comoros,COM,921.3754265,598.6577392,1337.048156,1439.683821,1449.008999,1190.474474,1224.800941,1282.279613,1391.139683,1348.886524,1376.107539,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Congo, Dem. Rep.",COD,..,303.4753084,272.5154106,298.2431487,301.5952793,324.1724213,330.2836795,325.2759971,416.0297053,460.6932339,416.7103823,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Congo, Rep.",COG,318.3792737,61.55110827,1564.250627,2034.214549,2212.525191,1564.249632,1247.577027,918.6021546,866.137916,617.8784985,689.0016767,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Costa Rica,CRI,1622.723487,3378.509727,9109.331525,9677.784145,9734.51179,10441.54744,10782.34255,10833.58751,11047.9372,11164.91179,10639.87905,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cote d'Ivoire,CIV,709.3337738,528.3782415,1106.691433,1257.400092,1445.272849,1835.916193,1848.261754,1918.77233,2098.79471,2079.597418,2135.750581,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Croatia,HRV,..,3987.99197,10695.65816,11304.38437,11238.21638,9971.904025,10206.83521,11310.56855,12673.84863,12778.65134,12132.9221,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cuba,CUB,2371.743387,2370.034565,5560.80754,5890.49176,6159.919882,6703.923371,7014.969907,7417.98247,7638.541524,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cyprus,CYP,8251.990234,11346.93066,25077.46484,23637.7832,22661.11328,20097.61328,20533.84766,22639.23438,24782.80273,24379.08008,22557.13086,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Czechia,CZE,..,4584.278364,14289.06205,14481.5823,14292.81838,12891.10532,13482.08451,15284.60155,17419.30818,17454.43824,17172.9272,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Denmark,DNK,21689.24566,24600.59382,48814.46931,51794.61993,53767.19849,45788.03979,46821.19076,49134.60462,52848.81876,51399.61053,52666.34897,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Djibouti,DJI,..,735.3911904,1166.76586,1625.165616,1882.970984,2073.305196,2102.119885,2118.653591,2399.449032,2648.143101,2680.145443,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Dominica,DMA,2698.843142,4052.277001,5667.406942,5722.426826,6853.08374,6242.570956,6844.371668,6155.678545,6623.907698,7135.439574,6112.144538,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Dominican Republic,DOM,901.3216492,2642.474954,5540.405613,5557.607126,5870.758018,6231.484488,6515.846268,6739.566159,7123.862631,7279.792091,6310.524427,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ecuador,ECU,1080.156727,1006.055788,4475.229775,4837.792391,5070.333363,4960.462553,4860.912324,4932.50136,4850.104554,4728.535588,4197.130988,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Egypt, Arab Rep.",EGY,580.0899981,1226.721304,2611.404056,2643.658502,2768.894781,3047.651021,3013.730281,2037.360556,2082.906766,2484.361655,3022.160434,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,El Salvador,SLV,820.7331113,1813.962399,2963.220098,2979.063315,3036.505886,3125.434434,3181.228144,3236.770261,3325.378256,3471.065386,3128.230448,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Equatorial Guinea,GNQ,187.2350717,..,3961.846609,4841.823233,5352.128508,4740.581856,4199.341627,3600.163188,3643.315805,3035.875575,2799.750124,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eritrea,ERI,..,251.6087092,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Estonia,EST,..,3406.052036,13886.47355,15448.51411,16450.54989,14201.41866,15040.09065,16677.88733,19086.7926,19445.51283,19403.44083,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eswatini,SWZ,1181.771002,1478.972927,3491.011724,3360.672796,3208.343423,2910.267069,2629.747555,2982.429938,3168.223764,2886.905604,2486.599422,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ethiopia,ETH,215.2487387,92.19453561,337.8284722,364.5542557,426.14143,483.3028716,553.0608849,602.670916,638.6801047,717.4663494,792.3632098,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Fiji,FJI,1454.316658,1801.375628,3634.867078,3959.245545,4351.554768,4099.089931,4371.499296,4589.675192,4868.934128,4678.392533,3948.278929,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Finland,FIN,22318.38125,20023.60312,38832.04003,40385.23638,41088.83308,35152.2362,35815.06201,37727.66218,40900.78716,39672.14904,39966.40683,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,France,FRA,18461.55173,19223.22251,34366.26608,35806.98331,36132.09522,30878.47487,31132.53,32620.98128,34876.74754,33928.70682,31681.88462,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Gabon,GAB,2760.028951,1678.342767,4693.367963,4971.765444,5723.390155,4741.166554,4515.628079,4415.267999,4727.970446,4450.405014,4210.956727,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Gambia, The",GMB,231.5034834,432.2735751,489.1674859,463.748232,405.9693774,439.0323117,453.6680624,452.3147641,526.8727111,553.1548847,560.0741818,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Georgia,GEO,..,653.3160564,3765.167301,3904.337857,4039.264711,3333.06343,3259.457768,3507.366515,3864.344408,3803.291778,3416.983685,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Germany,DEU,18935.55312,19480.13219,36932.72311,38953.51525,40289.46858,34601.01764,35591.56871,37677.17204,40746.2168,39623.09075,38425.66614,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ghana,GHA,311.6687328,187.6543429,1119.883313,1799.74819,1450.664674,1331.927134,1485.679377,1523.649611,1682.715016,1679.666048,1812.003471,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Greece,GRC,..,..,18104.0622,17852.53406,18007.65347,14991.3733,14886.50395,15480.638,16524.37771,16118.57712,14754.40813,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guatemala,GTM,763.9127084,1490.61916,2848.162872,2980.023693,3189.457845,3416.264362,3534.347287,3762.809658,3811.795522,3973.275248,3953.162317,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guinea,GIN,346.0425266,303.8363612,572.4407793,590.9786415,607.636408,609.1417092,565.6314998,675.9760247,756.6202801,850.254262,914.9928932,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guinea-Bissau,GNB,180.9257168,239.845031,461.5727698,461.909587,476.5717157,452.7956926,507.1289082,572.1186239,645.5094649,638.5922791,614.0606047,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guyana,GUY,299.9224584,752.3927906,4640.96464,4834.471738,4877.974223,5144.610969,4986.147563,5395.248458,5533.35088,5900.912589,4453.965085,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Haiti,HTI,430.8154686,803.8491767,1289.771314,1379.322774,1385.611983,1345.855931,1232.035194,1301.613345,1413.648386,1249.483649,1205.061661,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Honduras,HND,825.0491174,964.3510995,1831.021285,1792.713103,1856.926726,1970.300113,1987.958136,2108.95001,2120.794303,2190.906925,2085.007103,..
