,Country Name,Country Code,NetIncomeMean,GdpMean,InflMean
0,Albania,ALB,10948438940.6,13365200472.4,2277370027.0264864
1,Algeria,DZA,134994200000.0,168557600000.0,33195800003.64212
2,Angola,AGO,75497090903.8,70626923115.4,17443860096.45037
3,Armenia,ARM,10392423379.0,11740832933.4,2110667535.305925
4,Australia,AUS,1040772400000.0,1340840000000.0,270124000001.3496
5,Austria,AUT,340093000000.0,418936200000.0,76394200001.30043
6,Azerbaijan,AZE,34737682072.6,45418924965.0,10614874103.251682
7,"Bahamas, The",BHS,10881468868.2,12400540000.0,2372380001.1857862
8,Bahrain,BHR,26856739735.0,35042942340.4,6210127661.0534
9,Bangladesh,BGD,243706400000.0,285337400000.0,39015800004.47024
10,Barbados,BRB,4234872263.0,4992125010.0,944938242.7432432
11,Belarus,BLR,46461531799.4,56668979386.0,11290946885.067774
12,Belgium,BEL,414094000000.0,504058800000.0,92467200001.51797
13,Belize,BLZ,1421073570.4,2297300000.0,442100000.45362663
14,Benin,BEN,11425979248.2,12912995416.8,2277632199.583028
15,Bhutan,BTN,1870433616.0,2319091748.8,400719645.32495105
16,Bolivia,BOL,31366880759.0,37126587477.4,6600039651.711515
17,Botswana,BWA,12296763480.6,15689265956.4,2706147634.026824
18,Brazil,BRA,1626342000000.0,1890328000000.0,360442000003.9166
19,Brunei Darussalam,BRN,10434809755.4,12699225639.8,2586078987.419066
20,Bulgaria,BGR,49409904160.4,59842950817.6,10156399344.036243
21,Burkina Faso,BFA,12200703808.6,14168141305.2,2366431855.329319
22,Burundi,BDI,1969182941.8,2738458270.0,620800725.8217509
23,Cabo Verde,CPV,1520153233.0,1795588609.6,319360057.74805224
24,Cambodia,KHM,18786419945.4,22381009185.0,3609990859.8666863
25,Cameroon,CMR,29347365225.6,36353587470.4,6442046583.406302
26,Canada,CAN,1333186000000.0,1640224000000.0,311302000001.4486
27,Central African Republic,CAF,1703749082.0,2007094814.4,339165144.2847373
28,Chad,TCD,7785416748.4,10720536841.4,2190078444.1946287
29,Chile,CHL,213031000000.0,268429800000.0,48499400002.19227
30,China,CHN,9442286000000.0,12556000000000.0,2212320000001.7134
31,Colombia,COL,257017600000.0,309099800000.0,58696400003.71828
32,"Congo, Rep.",COG,5485519922.4,11924959829.0,2378051828.5998955
33,Costa Rica,CRI,54198816815.8,60528562494.2,11288383531.785118
34,Cote d'Ivoire,CIV,48727092526.2,52383584526.0,9162927594.33232
35,Croatia,HRV,46986554545.2,56721787650.6,10048556613.655262
36,Cyprus,CYP,19408920088.2,23088769470.0,3981838011.957692
37,Czechia,CZE,162355000000.0,220896600000.0,37606600001.62628
38,Denmark,DNK,283346800000.0,330250000000.0,60534600000.59377
39,Djibouti,DJI,2364395041.8,2758849743.8,484878358.3547497
40,Dominica,DMA,465763287.78000003,560965185.1800001,108147407.98637676
41,Dominican Republic,DOM,72221551918.6,80272839769.2,14232965053.453754
42,Ecuador,ECU,81429305153.0,103838815400.0,19858076200.437504
43,"Egypt, Arab Rep.",EGY,256881800000.0,290067400000.0,65873400013.37489
44,El Salvador,SLV,20462612184.0,25102170000.0,4687648000.556412
45,Estonia,EST,22295188240.4,27118919715.0,4578152419.855902
46,Eswatini,SWZ,3358320838.4,4288547704.0,812649138.4963456
47,Ethiopia,ETH,65164026333.0,80167736877.2,12917867005.191586
48,Fiji,FJI,4152762591.0,5205840508.2,936509378.8130763
49,Finland,FIN,208377600000.0,255035200000.0,46906800000.64373
50,France,FRA,2188756000000.0,2605426000000.0,487838000000.83484
51,Gabon,GAB,9766551942.0,15415643791.0,2876621545.1944532
52,"Gambia, The",GMB,1158688945.7,1570389082.8,275635379.3799254
53,Georgia,GEO,13238245851.8,16281196953.8,2990790114.527677
54,Germany,DEU,3108428000000.0,3676192000000.0,671518000001.0358
55,Ghana,GHA,46660750931.6,60322988545.4,9881313695.555792
56,Guatemala,GTM,59588092018.4,70078498341.8,12437237318.464964
57,Guinea-Bissau,GNB,1063349586.4799999,1304336052.4,209645926.56443202
58,Guyana,GUY,4169418190.2,4694421658.8,855968040.0221475
59,Haiti,HTI,14213948510.6,15019456464.0,2966630905.073638
60,Honduras,HND,20002130211.8,22998275597.4,4195953560.074439
61,Hungary,HUN,115210503166.8,144290000000.0,25034800001.78637
62,India,IND,2203988000000.0,2516868000000.0,420718000003.1889
63,Indonesia,IDN,783160000000.0,993944200000.0,172170800002.7127
64,"Iran, Islamic Rep.",IRN,279916000000.0,393645400000.0,81642600014.64236
65,Iraq,IRQ,151715600000.0,196319400000.0,33354800000.181805
66,Ireland,IRL,187071400000.0,342460600000.0,58355000000.35524
67,Israel,ISR,301315000000.0,352585000000.0,60682800000.27207
68,Italy,ITA,1614248000000.0,1955748000000.0,367328000000.5763
69,Jamaica,JAM,13281619510.4,14927319548.2,2837787192.474232
70,Japan,JPN,3849524000000.0,4908122000000.0,888986000000.363
71,Jordan,JOR,38633817007.2,41690571585.8,7717403590.353857
72,Kazakhstan,KAZ,121516800000.0,169895800000.0,36877600006.65013
73,Kenya,KEN,67954859316.8,83910858366.6,14024082670.645712
74,"Korea, Rep.",KOR,1300802000000.0,1593210000000.0,293154000000.95496
75,Kuwait,KWT,116402400000.0,123814600000.0,22913400001.40104
76,Kyrgyz Republic,KGZ,5916211875.6,7667267983.6,1335635669.2480865
77,Lao PDR,LAO,12891989899.0,16858449915.0,2885276238.9570684
78,Latvia,LVA,23758424419.0,30920695717.0,5452618111.083372
79,Lesotho,LSO,2222963714.8,2357681285.6,471951963.99661815
80,Lithuania,LTU,40263157694.6,48148900215.0,8287106669.93217
81,Luxembourg,LUX,37046950231.4,65765330321.2,12014316844.25863
82,Madagascar,MDG,10297216789.4,12842529154.0,2264604171.5699105
83,Malawi,MWI,7006144857.6,8331168682.2,1274642539.2091043
84,Malaysia,MYS,231555800000.0,329137800000.0,60271000001.50188
85,Maldives,MDV,3936995800.0,4830620102.6,821884960.6813279
86,Mali,MLI,13107472908.2,15369528448.6,2620952866.5202985
87,Mauritania,MRT,6108063548.8,6981083049.8,1233371527.6220098
88,Mauritius,MUS,12678338274.8,13497399925.6,2401458210.8532763
89,Mexico,MEX,925078000000.0,1180138000000.0,234374000003.47974
90,"Micronesia, Fed. Sts.",FSM,383781966.58000004,365870840.0,63297980.596927024
91,Moldova,MDA,9003618851.8,9783048240.0,1549048386.7624755
92,Mongolia,MNG,9082752211.0,12333308813.6,2323978483.0320044
93,Morocco,MAR,96698297267.2,119357800000.0,22082800000.899456
94,Myanmar,MMR,56039508977.6,64125783874.2,12609061051.239752
95,Nepal,NPL,27387710769.2,29030839935.4,4872159086.609457
96,Netherlands,NLD,701557000000.0,841548000000.0,153114600001.20706
97,New Zealand,NZL,164259800000.0,199782800000.0,35612800001.14299
98,Nicaragua,NIC,11287383439.4,13090115217.6,2551341320.139474
99,Niger,NER,11472316625.6,11398589645.6,1936773579.7856147
100,Nigeria,NGA,354979200000.0,428656200000.0,98605400011.13809
101,North Macedonia,MKD,9174777645.0,11466690837.0,2012903087.0674164
102,Norway,NOR,323226200000.0,398992800000.0,77160400002.07153
103,Oman,OMN,47482874910.4,82852587776.4,15742158648.344294
104,Pakistan,PAK,267812000000.0,320085800000.0,54111200004.701385
105,Panama,PAN,52682693656.0,61223200000.0,10818360000.404362
106,Papua New Guinea,PNG,18466091837.8,22817213648.8,4344706238.679788
107,Paraguay,PRY,33656076420.0,37889812841.4,7242289570.884401
108,Peru,PER,175350400000.0,208725600000.0,37961000002.062675
109,Philippines,PHL,339099600000.0,335443800000.0,61289200002.36167
110,Poland,POL,448845200000.0,531323600000.0,95422200001.0903
111,Portugal,PRT,177574000000.0,221895600000.0,39878800000.661575
112,Qatar,QAT,127913400000.0,166748800000.0,32348000000.532135
113,Romania,ROU,173794200000.0,213530400000.0,35576400001.64951
114,Russian Federation,RUS,1177716000000.0,1512982000000.0,272696000003.61493
115,Rwanda,RWA,7453446828.0,9296381030.6,1707884985.6981091
116,Samoa,WSM,709974979.0600001,868863291.2800001,164832005.2868802
117,Saudi Arabia,SAU,587589000000.0,721597400000.0,130854000000.31909
118,Senegal,SEN,18185542618.2,20865470694.8,3554953328.074998
119,Seychelles,SYC,1222966135.6,1560069644.4,283200265.9237993
120,Singapore,SGP,259074600000.0,344500000000.0,61600800000.20956
121,Slovak Republic,SVK,78268260960.6,97272309783.4,17780176627.39411
122,Slovenia,SVN,38366504852.6,48994559953.2,8621501205.748648
123,Solomon Islands,SLB,1295498217.4,1478362340.2,261581615.2195006
124,South Africa,ZAF,302916400000.0,368887400000.0,69342000004.07861
125,Spain,ESP,1110304000000.0,1311796000000.0,239232000000.8256
126,Sri Lanka,LKA,76142409861.0,90207662081.0,17028192710.865292
127,St. Lucia,LCA,1488088707.6,1964133418.4,361445442.9001502
128,St. Vincent and the Grenadines,VCT,647841090.26,848590992.6,157310919.5681819
129,Sweden,SWE,448969600000.0,530222600000.0,101020800001.3033
130,Switzerland,CHE,544407600000.0,704830400000.0,138823600000.2797
131,Tanzania,TZA,45989243236.8,53722763175.2,9475720760.290445
132,Thailand,THA,358156800000.0,464371000000.0,80259200000.52489
133,Togo,TGO,5468357112.8,6188113378.4,836173235.7838051
134,Tonga,TON,442626873.03999996,463777314.53999996,87401248.70137165
135,Trinidad and Tobago,TTO,18922674843.4,24463557990.4,5370394052.194033
136,Tunisia,TUN,39600382709.6,43379376781.2,9156015502.193184
137,Turkiye,TUR,692644400000.0,826283000000.0,172863400010.08575
138,Uganda,UGA,25296464546.8,32123146555.8,6477436772.279939
139,Ukraine,UKR,103146510821.8,116250390616.8,18206191900.43792
140,United States,USA,16846920000000.0,19658500000000.0,3641200000001.529
141,Uruguay,URY,48035564477.0,60098222344.4,10654860850.669207
142,Vanuatu,VUT,796936032.2,848617108.72,146174118.14401588
143,Vietnam,VNM,178122200000.0,284435800000.0,47851600002.5048
144,Zambia,ZMB,18444390990.8,23540697735.2,4250243368.018387
145,Africa Eastern and Southern,AFE,777937600000.0,967324800000.0,184904600004.36237
146,Africa Western and Central,AFW,605221800000.0,740466000000.0,507786000001.3605
147,Arab World,ARB,2160804000000.0,2654488000000.0,15133857064.717133
148,Caribbean small states,CSS,60854433518.8,74820037944.6,258564000001.00098
149,Central Europe and the Baltics,CEB,1199550000000.0,1479060000000.0,2026340000001.444
150,Early-demographic dividend,EAR,9183144000000.0,10988960000000.0,2665520000002.6533
151,East Asia & Pacific,EAS,18858300000000.0,24520940000000.0,2662060000001.4033
152,East Asia & Pacific (excluding high income),EAP,11472420000000.0,15133140000000.0,4096820000001.8657
153,East Asia & Pacific (IDA & IBRD countries),TEA,11457940000000.0,15113580000000.0,584280000001.8654
154,Euro area,EMU,10486942000000.0,12689060000000.0,2710500000000.9424
155,Europe & Central Asia,ECS,17866660000000.0,21732040000000.0,331720000001.2169
156,Europe & Central Asia (excluding high income),ECA,2440550000000.0,3049700000000.0,5170860000002.214
157,Europe & Central Asia (IDA & IBRD countries),TEC,3111668000000.0,3851274000000.0,203538000001.83478
158,European Union,EUU,12215900000000.0,14776120000000.0,3709120000000.996
159,Fragile and conflict affected situations,FCS,1326980000000.0,1676434000000.0,1074418000002.2205
160,Heavily indebted poor countries (HIPC),HPC,595653200000.0,760154400000.0,919898000003.075
161,High income,HIC,43014800000000.0,51827260000000.0,1028762000001.0797
162,IBRD only,IBD,22553020000000.0,28507620000000.0,94940000002.25327
163,IDA & IBRD total,IBT,24358920000000.0,30701340000000.0,632838000002.3624
164,IDA blend,IDB,828780800000.0,1009131000000.0,285020000001.41785
165,IDA only,IDX,977662200000.0,1183960000000.0,5241920000002.686
166,IDA total,IDA,1804822000000.0,2193096000000.0,3953840000002.5107
167,Late-demographic dividend,LTE,15897460000000.0,20687240000000.0,
168,Latin America & Caribbean,LCN,4592314000000.0,5555048000000.0,9481760000001.684
169,Latin America & Caribbean (excluding high income),LAC,3956366000000.0,4734114000000.0,74064400002.01906
170,Latin America & the Caribbean (IDA & IBRD countries),TLA,4425528000000.0,5316010000000.0,1811213809.142305
171,Least developed countries: UN classification,LDC,879674600000.0,1054723600000.0,8916560000003.395
172,Low & middle income,LMY,23234660000000.0,29322200000000.0,265926000002.46744
173,Low income,LIC,368217200000.0,481209000000.0,91009400004.23064
174,Lower middle income,LMC,6116550000000.0,7273162000000.0,540968000002.79364
175,Middle East & North Africa,MEA,2707352000000.0,3323874000000.0,540968000001.2677
176,Middle East & North Africa (excluding high income),MNA,1133228000000.0,1432762000000.0,338296000002.5708
177,Middle East & North Africa (IDA & IBRD countries),TMN,1121026000000.0,1416980000000.0,338012000002.9055
178,Middle income,MIC,22866440000000.0,28842080000000.0,338296000002.30457
179,North America,NAC,18186120000000.0,21305780000000.0,3932700000001.4883
180,OECD members,OED,42139740000000.0,50684500000000.0,2335100000001.1875
181,Other small states,OSS,311551600000.0,402374600000.0,4399440000001.635
182,Pacific island small states,PSS,8819213373.0,10061573821.0,153391600001.38257
183,Post-demographic dividend,PST,39823860000000.0,47793000000000.0,5582500000001.139
184,Pre-demographic dividend,PRE,1060726000000.0,1315936000000.0,411406000002.99713
185,Small states,SST,381086600000.0,487256200000.0,725326000001.3323
186,South Asia,SAS,2842208000000.0,3267528000000.0,138882800003.1304
187,South Asia (IDA & IBRD),TSA,2842208000000.0,3267528000000.0,207866000003.1304
188,Sub-Saharan Africa,SSF,1382626000000.0,1707792000000.0,190119000003.49994
189,Sub-Saharan Africa (excluding high income),SSA,1381402000000.0,1706228000000.0,287814000003.5521
190,Sub-Saharan Africa (IDA & IBRD countries),TSS,1382626000000.0,1707792000000.0,9649280000003.498
191,Upper middle income,UMC,16749800000000.0,21568860000000.0,5336360000001.879
192,World,WLD,66480980000000.0,81430440000000.0,1309204000001.6733
