,Unnamed: 0,Country Name,Country Code,LifeExpMean,SuicideMean,UnempMean,Happiness score
74,74.0,Iraq,IRQ,70.3862,3.86,12.078800009999998,4.941
75,75.0,Ireland,IRL,82.034146342,9.760000000000002,7.1359998702,7.041
76,76.0,Israel,ISR,82.523414632,5.1,4.4139999866,7.364
77,77.0,Italy,ITA,83.115609756,6.839999999999999,11.0719997418,6.467
78,78.0,Jamaica,JAM,71.977,2.28,11.0240000716,5.85
79,79.0,Japan,JPN,84.089170732,17.119999999999997,2.8200000284,6.039
80,80.0,Jordan,JOR,75.50919999999999,1.5399999999999998,16.315999794,4.152
81,81.0,Kazakhstan,KAZ,72.732,20.46,4.8880000114,6.234
82,82.0,Kenya,KEN,62.431,5.720000000000001,3.6618000504,4.543
83,83.0,"Korea, Dem. People's Rep.",PRK,72.9592,9.88,2.6828000068,
84,84.0,"Korea, Rep.",KOR,82.556097562,27.64,3.684000015,
85,85.0,Kuwait,KWT,79.69019999999999,2.72,2.1778000356,
86,86.0,Kyrgyz Republic,KGZ,71.16048780400001,8.44,7.092800044800001,
87,87.0,Lao PDR,LAO,67.4086,5.56,0.8108000040000001,
88,88.0,Latvia,LVA,74.77219511999999,20.5,8.3900000572,6.18
89,89.0,Lebanon,LBN,79.47059999999999,2.76,10.3040000922,2.955
90,90.0,Lesotho,LSO,52.867,81.33999999999999,23.1538002,
91,91.0,Liberia,LBR,60.4148,4.48,2.8507999898,
92,92.0,Libya,LBY,72.23859999999999,5.28,19.508000184000004,
93,93.0,Lithuania,LTU,75.287317072,30.18,7.2920001032,6.446
94,94.0,Luxembourg,LUX,82.401463414,10.820000000000002,5.932000065,
95,95.0,Madagascar,MDG,65.1164,5.5,1.8235999822,
96,96.0,Malawi,MWI,62.7918,5.840000000000001,5.7901999474000005,3.75
97,97.0,Malaysia,MYS,75.45259999999999,5.279999999999999,3.3019999980000003,5.711
98,98.0,Maldives,MDV,79.9278,2.9200000000000004,5.975599956799999,
99,99.0,Mali,MLI,59.0566,4.159999999999999,7.5159999846,4.479
100,100.0,Malta,MLT,82.400975612,6.12,4.2700000286,6.447
101,101.0,Mauritania,MRT,65.0666,3.06,10.303399848,
