Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Europe & Central Asia,ECS,11859.42914,15924.47415,28488.77503,29768.54428,30492.18534,30917.16916,32334.16549,34019.43418,35736.3614,36726.93942,35882.73362,39003.0335
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Europe & Central Asia (excluding high income),ECA,7082.945947,6197.476908,17910.62658,19308.84754,19647.71305,19179.97255,19572.14882,20766.15561,22196.30309,22736.02474,22673.83853,24997.91398
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,6919.608372,6618.600225,18514.27384,19777.5861,20194.60807,19965.1724,20527.05266,21850.3504,23380.35632,24103.18457,24113.88553,26574.4484
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,European Union,EUU,14817.2216,22073.88012,34963.87923,36063.12235,37060.91792,38218.58679,40549.40469,42658.07983,44651.57829,46060.33737,44840.17487,48480.46931
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Fragile and conflict affected situations,FCS,2484.227284,2662.206731,4392.09369,4585.644599,4594.118202,4391.934905,4440.906145,4581.341865,4727.62317,4823.01217,4592.304208,4766.288631
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Heavily indebted poor countries (HIPC),HPC,1086.805885,1327.363903,2069.747548,2154.307645,2292.079733,2337.044769,2420.32018,2494.346076,2586.450385,2669.714178,2633.377108,2767.495507
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,High income,HIC,18109.512,27545.24377,41960.11648,43312.61836,44446.72278,45205.32862,46516.08012,48405.73945,50430.7038,51726.33121,50466.93245,54675.70321
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IBRD only,IBD,2941.173609,4454.263817,10605.26663,11082.50909,11401.13111,11487.84617,11903.81684,12518.31343,13338.94859,13939.19442,13754.47591,15196.57967
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IDA & IBRD total,IBT,2627.661092,3862.742855,8760.49044,9140.964711,9409.084115,9477.417932,9789.957725,10253.9148,10887.15984,11342.8604,11165.93321,12254.95734
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IDA blend,IDB,2056.785906,2474.837578,4341.50448,4520.574521,4740.472572,4826.136656,4829.802465,4909.035246,5132.647023,5263.213884,5151.235977,5536.66907
