,Country Name,Happiness score,Unnamed: 0,Country Code,LifeExpMean,SuicideMean,UnempMean
85,Libya,5.33,92.0,LBY,72.23859999999999,5.28,19.508000184000004
86,Indonesia,5.24,72.0,IDN,70.0578,2.4,4.142000102999999
87,Ivory Coast,5.235,,,,,
88,North Macedonia,5.199,117.0,MKD,76.001463414,9.32,22.033999632
89,Albania,5.199,1.0,ALB,79.0034,4.6,14.000000191999998
90,South Africa,5.194,143.0,ZAF,65.18960000000001,24.34,26.822000124
91,Azerbaijan,5.173,8.0,AZE,72.31299999999999,4.040000000000001,4.9420000076
92,"Gambia, The",5.164,58.0,GMB,63.0594,4.9,9.484799957399998
93,Bangladesh,5.155,11.0,BGD,71.7484,3.5200000000000005,4.387400054999999
94,Laos,5.14,,,,,
95,Algeria,5.122,2.0,DZA,75.9274,2.56,10.535199928
96,Liberia,5.122,91.0,LBR,60.4148,4.48,2.8507999898
97,Ukraine,5.084,164.0,UKR,71.57136585399999,21.42,8.996000099
98,"Congo, Dem. Rep.",5.075,36.0,COD,59.437,6.6,4.4620001796
99,Morocco,5.06,107.0,MAR,73.624,7.220000000000001,9.3093999862
100,Mozambique,5.048,108.0,MOZ,59.7304,13.6,3.4500000478
101,Cameroon,5.048,28.0,CMR,60.693000000000005,9.12,3.5962000370000005
102,Senegal,5.046,135.0,SEN,67.74980000000001,6.2,4.2090000628
103,Niger,5.003,115.0,NER,62.0446,5.32,0.5409999966
104,Georgia,4.973,59.0,GEO,73.4494,9.88,14.257999992
105,Gabon,4.958,57.0,GAB,66.072,8.919999999999998,20.69880066
106,Iraq,4.941,74.0,IRQ,70.3862,3.86,12.078800009999998
107,"Venezuela, RB",4.925,171.0,VEN,72.2294,2.2,5.313600063599999
108,Guinea,4.891,64.0,GIN,59.015,7.040000000000001,4.943999957999999
109,"Iran, Islamic Rep.",4.888,73.0,IRN,75.7986,5.88,11.789999771999998
110,Ghana,4.872,61.0,GHA,63.988,6.94,5.029799938200001
111,Turkey,4.744,,,,,
112,Burkina Faso,4.67,24.0,BFA,59.5586,7.720000000000001,4.5402000426
113,Cambodia,4.64,27.0,KHM,70.373,5.0,0.3080000046
114,Benin,4.623,16.0,BEN,59.8732,7.959999999999999,1.6838000057999998
115,Comoros,4.609,35.0,COM,63.5476,5.44,8.0970001224
116,Uganda,4.603,163.0,UGA,62.110800000000005,4.5600000000000005,1.9221999882
117,Nigeria,4.552,116.0,NGA,52.3306,3.6,7.349200057999999
118,Kenya,4.543,82.0,KEN,62.431,5.720000000000001,3.6618000504
119,Tunisia,4.516,161.0,TUN,75.8532,3.16,15.328000068
120,Pakistan,4.516,120.0,PAK,66.2224,9.0,3.777399969
121,Palestinian Territories,4.483,,,,,
122,Mali,4.479,99.0,MLI,59.0566,4.159999999999999,7.5159999846
123,Namibia,4.459,110.0,NAM,62.0672,10.56,21.15359993
124,Eswatini,4.396,52.0,SWZ,57.906600000000005,31.24,22.88619995
125,Myanmar,4.394,109.0,MMR,66.0328,3.04,0.975399995
126,Sri Lanka,4.362,146.0,LKA,75.48339999999999,14.5,4.296000004
127,Madagascar,4.339,95.0,MDG,65.1164,5.5,1.8235999822
128,"Egypt, Arab Rep.",4.288,47.0,EGY,71.0708,3.1,10.9719999316
129,Chad,4.251,31.0,TCD,52.4128,6.639999999999999,1.1093999862
130,Ethiopia,4.241,53.0,ETH,64.8258,5.44,2.3010000228
131,"Yemen, Rep.",4.197,173.0,YEM,65.51219999999999,5.699999999999999,13.340200044
132,Mauritania,4.153,101.0,MRT,65.0666,3.06,10.303399848
133,Jordan,4.152,80.0,JOR,75.50919999999999,1.5399999999999998,16.315999794
134,Togo,4.112,158.0,TGO,60.049,9.1,3.2708000662
135,India,3.777,71.0,IND,70.36799999999998,12.34,5.3631999018
136,Zambia,3.76,174.0,ZMB,62.0514,8.219999999999999,11.431400107999998
137,Malawi,3.75,96.0,MWI,62.7918,5.840000000000001,5.7901999474000005
138,Tanzania,3.702,155.0,TZA,65.91199999999999,4.220000000000001,2.1811999798
139,Sierra Leone,3.574,137.0,SLE,58.8592,6.34,4.6754000664
140,Lesotho,3.512,90.0,LSO,52.867,81.33999999999999,23.1538002
141,Botswana,3.471,20.0,BWA,65.38419999999999,17.54,21.569399644
142,Rwanda,3.268,131.0,RWA,65.9328,5.640000000000001,1.1276000024
143,Zimbabwe,2.995,175.0,ZWE,60.662400000000005,15.579999999999998,4.7960000038
144,Lebanon,2.955,89.0,LBN,79.47059999999999,2.76,10.3040000922
145,Afghanistan,2.404,0.0,AFG,63.0914,4.06,11.16680012
146,Angola,,3.0,AGO,61.6038,6.159999999999999,7.410800075399999
147,"Bahamas, The",,9.0,BHS,73.0568,3.5,10.912199974200002
148,Barbados,,12.0,BRB,76.94500000000001,0.6,8.6799999238
149,Belize,,15.0,BLZ,73.5564,6.48,6.906999969599999
150,Bhutan,,17.0,BTN,70.86240000000001,4.56,2.4684000494
151,Brunei Darussalam,,22.0,BRN,74.73299999999999,2.72,8.221599960199999
152,Burundi,,25.0,BDI,61.32039999999999,6.340000000000001,1.5910000086
153,Cabo Verde,,26.0,CPV,75.73840000000001,13.86,12.087400054
154,Central African Republic,,30.0,CAF,53.8736,13.5,5.6267999648
155,"Congo, Rep.",,37.0,COG,63.474,6.62,20.56020012
156,Cote d'Ivoire,,39.0,CIV,58.49399999999999,9.34,3.1259999752
157,Cuba,,41.0,CUB,77.61019999999999,14.14,1.907000041
158,Djibouti,,44.0,DJI,62.6136,9.46,26.22480011
159,Equatorial Guinea,,49.0,GNQ,60.8476,8.620000000000001,8.624799728400001
160,Eritrea,,50.0,ERI,66.6532,11.32,5.922799968800001
161,Fiji,,54.0,FJI,67.5154,9.24,4.3348000526
162,Guinea-Bissau,,65.0,GNB,60.0504,7.219999999999999,5.964999961999999
163,Guyana,,66.0,GUY,68.65439999999998,38.7,13.686800004
164,Haiti,,67.0,HTI,63.7514,9.760000000000002,13.907799911999998
165,"Korea, Dem. People's Rep.",,83.0,PRK,72.9592,9.88,2.6828000068
166,Lao PDR,,87.0,LAO,67.4086,5.56,0.8108000040000001
167,Maldives,,98.0,MDV,79.9278,2.9200000000000004,5.975599956799999
168,Oman,,119.0,OMN,77.899,4.8,2.575
169,Papua New Guinea,,122.0,PNG,65.06,2.9400000000000004,2.4959999562
170,Qatar,,128.0,QAT,80.62039999999999,5.92,0.1340000018
171,Samoa,,132.0,WSM,72.4876,12.66,8.495600128
172,Sao Tome and Principe,,133.0,STP,67.9772,1.5,13.97880001
173,Solomon Islands,,141.0,SLB,69.9854,15.02,0.7236000060000001
174,Somalia,,142.0,SOM,55.80160000000001,7.959999999999999,18.870399856
175,South Sudan,,144.0,SSD,55.65619999999999,3.74,12.257399942
176,St. Lucia,,147.0,LCA,73.23580000000001,7.979999999999999,18.694200132
177,St. Vincent and the Grenadines,,148.0,VCT,73.991,1.2,19.168400194000004
178,Sudan,,149.0,SDN,65.2882,3.86,17.555400086000002
179,Suriname,,150.0,SUR,71.9208,24.92,7.801999950200001
180,Syrian Arab Republic,,153.0,SYR,68.313,1.8,8.7434000012
181,Timor-Leste,,157.0,TLS,67.72260000000001,3.6,4.6204000472
182,Tonga,,159.0,TON,70.72619999999999,4.14,2.8131999968000003
183,Trinidad and Tobago,,160.0,TTO,74.20880000000001,9.44,3.1348000048
184,Vanuatu,,170.0,VUT,69.709,18.08,1.7986000062000005
185,Africa Eastern and Southern,,176.0,AFE,62.868882696,8.242692786200001,6.6752840228
186,Africa Western and Central,,177.0,AFW,56.882186298,5.567746286,5.671459156
187,Arab World,,178.0,ARB,71.321704638,4.2328033776,10.65452848
188,Caribbean small states,,179.0,CSS,72.60143932999999,9.6743645196,9.404730267
189,Central Europe and the Baltics,,180.0,CEB,76.946559834,13.827004264,5.5415773726
190,Early-demographic dividend,,181.0,EAR,70.49009817999999,8.4127093726,5.6749109374
191,East Asia & Pacific,,182.0,EAS,76.338214938,8.008280390600001,3.8887660514
192,East Asia & Pacific (excluding high income),,183.0,EAP,75.527107784,6.8982030308,3.9381245436
193,Euro area,,184.0,EMU,81.968293806,11.57581458,9.1153679526
194,Europe & Central Asia,,185.0,ECS,77.7316555,13.862133899999998,7.5411896922
195,Europe & Central Asia (excluding high income),,186.0,ECA,73.28152512,16.584927254,7.3973089562
196,European Union,,187.0,EUU,80.959184496,11.947976804,8.246230325400001
197,Fragile and conflict affected situations,,188.0,FCS,61.638392856,5.309572574,6.3331287516
198,Heavily indebted poor countries (HIPC),,189.0,HPC,62.521980608,6.3265278314,4.6847095282
199,High income,,190.0,HIC,80.718832628,13.680644556,5.6430449462
200,IBRD only,,191.0,IBD,73.663068092,9.329872682799998,5.7274109674
201,IDA & IBRD total,,192.0,IBT,71.044745934,8.5180189724,5.515914969400001
202,IDA blend,,193.0,IDB,60.840704384000006,6.809124145599999,5.2563389064
203,IDA only,,194.0,IDX,64.631220572,5.7470934482,4.542375744399999
204,IDA total,,195.0,IDA,63.352910194,6.104365686,4.759643714000001
205,Late-demographic dividend,,196.0,LTE,76.487042374,9.4147747408,5.1426563494
206,Latin America & Caribbean,,197.0,LCN,74.76362219199999,6.1894333162,7.6394425128
207,Latin America & Caribbean (excluding high income),,198.0,LAC,74.656530198,6.200904213199999,7.788625174000001
208,Least developed countries: UN classification,,199.0,LDC,64.38078207000001,5.7076291998,4.5394526536
209,Low & middle income,,200.0,LMY,70.96823161799999,8.5189814286,5.49594612
210,Low income,,201.0,LIC,62.50883898000001,6.1199189156000005,5.0561073466
211,Lower middle income,,202.0,LMC,68.807944924,8.5039720758,5.2010435992
212,Middle East & North Africa,,203.0,MEA,73.48448258200001,4.4762521276000005,10.0019672476
213,Middle East & North Africa (excluding high income),,204.0,MNA,72.62759413,4.2564002642,11.690666072000004
214,Middle income,,205.0,MIC,71.92726221800001,8.779416609399998,5.539192088199999
215,North America,,206.0,NAC,78.975739398,15.125264552,4.628795639200001
