,Country Name,Happiness score,Unnamed: 0,Country Code,LifeExpMean,SuicideMean,UnempMean
102,Senegal,5.046,135,SEN,67.7498,6.2,4.209000063
103,Niger,5.003,115,NER,62.0446,5.32,0.540999997
104,Georgia,4.973,59,GEO,73.4494,9.88,14.25799999
105,Gabon,4.958,57,GAB,66.072,8.92,20.69880066
106,Iraq,4.941,74,IRQ,70.3862,3.86,12.07880001
107,"Venezuela, RB",4.925,171,VEN,72.2294,2.2,5.313600064
108,Guinea,4.891,64,GIN,59.015,7.04,4.943999958
109,"Iran, Islamic Rep.",4.888,73,IRN,75.7986,5.88,11.78999977
110,Ghana,4.872,61,GHA,63.988,6.94,5.029799938
112,Burkina Faso,4.67,24,BFA,59.5586,7.72,4.540200043
113,Cambodia,4.64,27,KHM,70.373,5,0.308000005
114,Benin,4.623,16,BEN,59.8732,7.96,1.683800006
115,Comoros,4.609,35,COM,63.5476,5.44,8.097000122
116,Uganda,4.603,163,UGA,62.1108,4.56,1.922199988
117,Nigeria,4.552,116,NGA,52.3306,3.6,7.349200058
118,Kenya,4.543,82,KEN,62.431,5.72,3.66180005
119,Tunisia,4.516,161,TUN,75.8532,3.16,15.32800007
120,Pakistan,4.516,120,PAK,66.2224,9,3.777399969
122,Mali,4.479,99,MLI,59.0566,4.16,7.515999985
123,Namibia,4.459,110,NAM,62.0672,10.56,21.15359993
124,Eswatini,4.396,52,SWZ,57.9066,31.24,22.88619995
125,Myanmar,4.394,109,MMR,66.0328,3.04,0.975399995
126,Sri Lanka,4.362,146,LKA,75.4834,14.5,4.296000004
127,Madagascar,4.339,95,MDG,65.1164,5.5,1.823599982
128,"Egypt, Arab Rep.",4.288,47,EGY,71.0708,3.1,10.97199993
129,Chad,4.251,31,TCD,52.4128,6.64,1.109399986
130,Ethiopia,4.241,53,ETH,64.8258,5.44,2.301000023
131,"Yemen, Rep.",4.197,173,YEM,65.5122,5.7,13.34020004
132,Mauritania,4.153,101,MRT,65.0666,3.06,10.30339985
133,Jordan,4.152,80,JOR,75.5092,1.54,16.31599979
134,Togo,4.112,158,TGO,60.049,9.1,3.270800066
135,India,3.777,71,IND,70.368,12.34,5.363199902
136,Zambia,3.76,174,ZMB,62.0514,8.22,11.43140011
137,Malawi,3.75,96,MWI,62.7918,5.84,5.790199947
138,Tanzania,3.702,155,TZA,65.912,4.22,2.18119998
139,Sierra Leone,3.574,137,SLE,58.8592,6.34,4.675400066
140,Lesotho,3.512,90,LSO,52.867,81.34,23.1538002
141,Botswana,3.471,20,BWA,65.3842,17.54,21.56939964
142,Rwanda,3.268,131,RWA,65.9328,5.64,1.127600002
143,Zimbabwe,2.995,175,ZWE,60.6624,15.58,4.796000004
144,Lebanon,2.955,89,LBN,79.4706,2.76,10.30400009
145,Afghanistan,2.404,0,AFG,63.0914,4.06,11.16680012
