,Country Name,Country Code,Region,Happiness Score,Life Expectancy,Suicide Rate,Unemployment Rate,Net National Income per capita,GDP per capita,Consumer Price Inflation
76,Lithuania,LTU,europe,6.446,75.28731707,30.18,7.292000103,40263157695,48148900215,8287106670
77,Luxembourg,LUX,europe,7.404,82.40146341,10.82,5.932000065,37046950231,65765330321,12014316844
78,Madagascar,MDG,africa,4.339,65.1164,5.5,1.823599982,10297216789,12842529154,2264604172
79,Malawi,MWI,africa,3.75,62.7918,5.84,5.790199947,7006144858,8331168682,1274642539
80,Malaysia,MYS,asia,5.711,75.4526,5.28,3.301999998,2.31556E+11,3.29138E+11,60271000002
81,Mali,MLI,africa,4.479,59.0566,4.16,7.515999985,13107472908,15369528449,2620952867
83,Mauritania,MRT,africa,4.153,65.0666,3.06,10.30339985,6108063549,6981083050,1233371528
84,Mauritius,MUS,africa,6.071,74.38297561,8.76,6.745999908,12678338275,13497399926,2401458211
85,Mexico,MEX,americas,6.128,74.2898,5.56,3.669999981,9.25078E+11,1.18014E+12,2.34374E+11
86,Moldova,MDA,europe,5.857,70.22,15.22,4.405999947,9003618852,9783048240,1549048387
87,Mongolia,MNG,asia,5.761,70.5242,19.16,5.855800057,9082752211,12333308814,2323978483
89,Morocco,MAR,africa,5.06,73.624,7.22,9.309399986,96698297267,1.19358E+11,22082800001
91,Myanmar,MMR,asia,4.394,66.0328,3.04,0.975399995,56039508978,64125783874,12609061051
93,Nepal,NPL,asia,5.377,68.7358,8.7,3.115199995,27387710769,29030839935,4872159087
94,Netherlands,NLD,europe,7.415,81.75121951,11.8,4.986000061,7.01557E+11,8.41548E+11,1.53115E+11
95,New Zealand,NZL,asia,7.2,81.65873171,11.8,4.747999954,1.6426E+11,1.99783E+11,35612800001
96,Nicaragua,NIC,americas,6.165,73.5394,4.38,4.462199926,11287383439,13090115218,2551341320
97,Niger,NER,africa,5.003,62.0446,5.32,0.540999997,11472316626,11398589646,1936773580
98,Nigeria,NGA,africa,4.552,52.3306,3.6,7.349200058,3.54979E+11,4.28656E+11,98605400011
100,North Macedonia,MKD,europe,5.199,76.00146341,9.32,22.03399963,9174777645,11466690837,2012903087
101,Norway,NOR,europe,7.365,82.60780488,12.2,4.125999975,3.23226E+11,3.98993E+11,77160400002
102,Pakistan,PAK,asia,4.516,66.2224,9,3.777399969,2.67812E+11,3.20086E+11,54111200005
104,Panama,PAN,americas,6.309,77.7178,3.04,3.731599951,52682693656,61223200000,10818360000
105,Paraguay,PRY,americas,5.578,73.5116,5.82,5.446000004,33656076420,37889812841,7242289571
106,Peru,PER,americas,5.559,75.8908,2.72,3.514000034,1.7535E+11,2.08726E+11,37961000002
107,Philippines,PHL,asia,5.904,71.545,2.22,2.579999971,3.391E+11,3.35444E+11,61289200002
108,Poland,POL,europe,6.123,77.71268293,13.4,5.135999918,4.48845E+11,5.31324E+11,95422200001
109,Portugal,PRT,europe,6.016,81.33463414,11.96,9.165999793,1.77574E+11,2.21896E+11,39878800001
110,Romania,ROU,europe,6.477,75.2795122,10.34,5.148000002,1.73794E+11,2.1353E+11,35576400002
111,Russian Federation,RUS,europe,5.459,72.20643902,28.68,5.138000012,1.17772E+12,1.51298E+12,2.72696E+11
112,Rwanda,RWA,africa,3.268,65.9328,5.64,1.127600002,7453446828,9296381031,1707884986
113,Saudi Arabia,SAU,asia,6.523,77.1316,6.18,5.768599987,5.87589E+11,7.21597E+11,1.30854E+11
114,Senegal,SEN,africa,5.046,67.7498,6.2,4.209000063,18185542618,20865470695,3554953328
117,Singapore,SGP,asia,6.48,83.11560976,9.54,3.762599897,2.59075E+11,3.445E+11,61600800000
118,Slovak Republic,SVK,europe,6.391,77.16536585,12.26,8.313999938,78268260961,97272309783,17780176627
119,Slovenia,SVN,europe,6.63,81.17756098,19.7,6.615999985,38366504853,48994559953,8621501206
120,South Africa,ZAF,africa,5.194,65.1896,24.34,26.82200012,3.02916E+11,3.68887E+11,69342000004
122,Spain,ESP,europe,6.476,83.34146342,7.88,17.65199966,1.1103E+12,1.3118E+12,2.39232E+11
123,Sri Lanka,LKA,asia,4.362,75.4834,14.5,4.296000004,76142409861,90207662081,17028192711
124,Sweden,SWE,europe,7.384,82.51804878,14.98,6.865999889,4.4897E+11,5.30223E+11,1.01021E+11
125,Switzerland,CHE,europe,7.512,83.54195122,14.54,4.724000072,5.44408E+11,7.0483E+11,1.38824E+11
128,Tanzania,TZA,africa,3.702,65.912,4.22,2.18119998,45989243237,53722763175,9475720760
129,Thailand,THA,asia,5.891,78.3594,8.5,0.722000003,3.58157E+11,4.64371E+11,80259200001
130,Togo,TGO,africa,4.112,60.049,9.1,3.270800066,5468357113,6188113378,836173235.8
131,Tunisia,TUN,africa,4.516,75.8532,3.16,15.32800007,39600382710,43379376781,9156015502
134,Uganda,UGA,africa,4.603,62.1108,4.56,1.922199988,25296464547,32123146556,6477436772
135,Ukraine,UKR,europe,5.084,71.57136585,21.42,8.996000099,1.03147E+11,1.1625E+11,18206191900
138,United States,USA,americas,6.977,78.63902439,15.44,4.41600008,1.68469E+13,1.96585E+13,3.6412E+12
139,Uruguay,URY,americas,6.474,77.5596,20.58,8.088000011,48035564477,60098222344,10654860851
142,Vietnam,VNM,asia,5.485,73.9692,7.64,1.753999996,1.78122E+11,2.84436E+11,47851600003
144,Zambia,ZMB,africa,3.76,62.0514,8.22,11.43140011,18444390991,23540697735,4250243368
