,Country Name,Country Code,LifeExpMean,SuicideMean,UnempMean
145,Spain,ESP,83.341463416,7.88,17.651999664
146,Sri Lanka,LKA,75.48339999999999,14.5,4.296000004
147,St. Lucia,LCA,73.23580000000001,7.9799999999999995,18.694200132
148,St. Vincent and the Grenadines,VCT,73.991,1.2,19.168400194000004
149,Sudan,SDN,65.2882,3.8600000000000003,17.555400086000002
150,Suriname,SUR,71.9208,24.919999999999998,7.801999950200001
151,Sweden,SWE,82.51804878200001,14.979999999999999,6.865999889399999
152,Switzerland,CHE,83.54195122,14.540000000000001,4.7240000724
153,Syrian Arab Republic,SYR,68.313,1.8,8.7434000012
154,Tajikistan,TJK,69.99600000000001,4.22,7.0961999892
155,Tanzania,TZA,65.91199999999999,4.220000000000001,2.1811999798
156,Thailand,THA,78.35940000000001,8.5,0.722000003
157,Timor-Leste,TLS,67.72260000000001,3.6,4.6204000472
158,Togo,TGO,60.049,9.1,3.2708000661999996
159,Tonga,TON,70.72619999999999,4.14,2.8131999968000003
160,Trinidad and Tobago,TTO,74.20880000000001,9.440000000000001,3.1348000048
161,Tunisia,TUN,75.8532,3.16,15.328000068
162,Turkmenistan,TKM,68.8546,5.9399999999999995,4.2028000832000005
163,Uganda,UGA,62.110800000000005,4.5600000000000005,1.9221999881999998
164,Ukraine,UKR,71.57136585399999,21.419999999999998,8.996000099
165,United Arab Emirates,ARE,79.483,6.1,2.0900000095999998
166,United Kingdom,GBR,81.165853658,8.3,4.436000013599999
167,United States,USA,78.63902439,15.439999999999998,4.4160000802
168,Uruguay,URY,77.5596,20.580000000000002,8.0880000114
169,Uzbekistan,UZB,70.9466,8.739999999999998,5.5769999504
170,Vanuatu,VUT,69.709,18.080000000000002,1.7986000062000003
171,"Venezuela, RB",VEN,72.2294,2.2,5.313600063599999
172,Vietnam,VNM,73.96920000000001,7.640000000000001,1.7539999964
173,"Yemen, Rep.",YEM,65.51219999999999,5.699999999999999,13.340200044
174,Zambia,ZMB,62.0514,8.219999999999999,11.431400107999998
175,Zimbabwe,ZWE,60.662400000000005,15.579999999999998,4.7960000038
176,Africa Eastern and Southern,AFE,62.868882696,8.242692786200001,6.6752840228
177,Africa Western and Central,AFW,56.882186298,5.567746286,5.671459156
178,Arab World,ARB,71.321704638,4.2328033776,10.65452848
179,Caribbean small states,CSS,72.60143932999999,9.6743645196,9.404730267000001
180,Central Europe and the Baltics,CEB,76.946559834,13.827004264,5.5415773726
181,Early-demographic dividend,EAR,70.49009817999999,8.4127093726,5.6749109374
182,East Asia & Pacific,EAS,76.338214938,8.008280390600001,3.8887660513999998
183,East Asia & Pacific (excluding high income),EAP,75.527107784,6.8982030307999995,3.9381245436
184,Euro area,EMU,81.968293806,11.57581458,9.1153679526
185,Europe & Central Asia,ECS,77.7316555,13.862133899999998,7.5411896922
186,Europe & Central Asia (excluding high income),ECA,73.28152512,16.584927254,7.3973089562
187,European Union,EUU,80.959184496,11.947976804,8.246230325400001
188,Fragile and conflict affected situations,FCS,61.638392855999996,5.309572574,6.3331287516
189,Heavily indebted poor countries (HIPC),HPC,62.521980608,6.3265278314,4.6847095282
190,High income,HIC,80.718832628,13.680644555999999,5.6430449462
191,IBRD only,IBD,73.663068092,9.329872682799998,5.7274109674
192,IDA & IBRD total,IBT,71.044745934,8.5180189724,5.515914969400001
193,IDA blend,IDB,60.840704384000006,6.809124145599999,5.2563389064
194,IDA only,IDX,64.631220572,5.7470934482,4.542375744399999
195,IDA total,IDA,63.352910194,6.1043656859999995,4.759643714000001
196,Late-demographic dividend,LTE,76.487042374,9.4147747408,5.1426563494
197,Latin America & Caribbean,LCN,74.76362219199999,6.1894333162,7.6394425128
198,Latin America & Caribbean (excluding high income),LAC,74.656530198,6.200904213199999,7.788625174000001
199,Least developed countries: UN classification,LDC,64.38078207000001,5.7076291997999995,4.5394526536
200,Low & middle income,LMY,70.96823161799999,8.5189814286,5.49594612
201,Low income,LIC,62.50883898000001,6.1199189156000005,5.0561073466
202,Lower middle income,LMC,68.807944924,8.5039720758,5.2010435992
203,Middle East & North Africa,MEA,73.48448258200001,4.4762521276000005,10.0019672476
204,Middle East & North Africa (excluding high income),MNA,72.62759413,4.2564002642,11.690666072000003
205,Middle income,MIC,71.92726221800001,8.779416609399998,5.539192088199999
206,North America,NAC,78.975739398,15.125264552,4.628795639200001
207,OECD members,OED,79.969257308,12.218474182,6.013405820400001
208,Other small states,OSS,68.16775945600001,14.649591179999998,10.418152889999998
209,Pacific island small states,PSS,69.125327672,13.825821991999998,2.8856099678
210,Post-demographic dividend,PST,80.613006458,14.606034812,5.869652654799999
211,Pre-demographic dividend,PRE,59.93407876399999,5.649103127799999,5.8414538052
212,Small states,SST,69.015755086,13.695455866,9.8381311656
213,South Asia,SAS,69.891357706,10.962984034,5.1068234774
214,South Asia (IDA & IBRD),TSA,69.891357706,10.962984034,5.1068234774
215,Sub-Saharan Africa,SSF,60.443288978,7.163217125999999,6.3145086044
216,Sub-Saharan Africa (excluding high income),SSA,60.442071618,7.163130329,6.3145086044
217,Upper middle income,UMC,76.02881414999999,9.133147256200001,5.863695022
218,World,WLD,72.54917057799999,9.297411090999999,5.5223481298
