,Country Name,Country Code,NetIncomeMean,GDP,Inflation
105,Panama,PAN,52682693656,61223200000,0.431861308
106,Papua New Guinea,PNG,18466091838,22817213649,5.27897888
107,Paraguay,PRY,33656076420,37889812841,3.510202079
108,Peru,PER,1.7535E+11,2.08726E+11,2.742289037
109,Philippines,PHL,3.391E+11,3.35444E+11,2.496498205
110,Poland,POL,4.48845E+11,5.31324E+11,0.915494541
111,Portugal,PRT,1.77574E+11,2.21896E+11,0.759168782
112,Qatar,QAT,1.27913E+11,1.66749E+11,0.894944422
113,Romania,ROU,1.73794E+11,2.1353E+11,1.530681373
114,Russian Federation,RUS,1.17772E+12,1.51298E+12,6.721769194
115,Rwanda,RWA,7453446828,9296381031,4.203809795
116,Samoa,WSM,709974979.1,868863291.3,1.791774212
117,Saudi Arabia,SAU,5.87589E+11,7.21597E+11,0.56030545
118,Senegal,SEN,18185542618,20865470695,0.902040169
119,Seychelles,SYC,1222966136,1560069644,2.33218814
120,Singapore,SGP,2.59075E+11,3.445E+11,0.105050818
121,Slovak Republic,SVK,78268260961,97272309783,1.129062874
122,Slovenia,SVN,38366504853,48994559953,0.843537367
123,Solomon Islands,SLB,1295498217,1478362340,1.104606678
124,South Africa,ZAF,3.02916E+11,3.68887E+11,4.986739289
125,Spain,ESP,1.1103E+12,1.3118E+12,0.725522597
126,Sri Lanka,LKA,76142409861,90207662081,4.218965059
127,St. Lucia,LCA,1488088708,1964133418,-0.296570008
128,St. Vincent and the Grenadines,VCT,647841090.3,848590992.6,0.701459494
129,Sweden,SWE,4.4897E+11,5.30223E+11,1.293933964
130,Switzerland,CHE,5.44408E+11,7.0483E+11,0.05089643
131,Tanzania,TZA,45989243237,53722763175,4.608078189
132,Thailand,THA,3.58157E+11,4.64371E+11,0.344796555
133,Togo,TGO,5468357113,6188113378,0.900586095
134,Tonga,TON,442626873,463777314.5,3.050571987
135,Trinidad and Tobago,TTO,18922674843,24463557990,2.326276008
136,Tunisia,TUN,39600382710,43379376781,5.480657226
137,Turkiye,TUR,6.92644E+11,8.26283E+11,11.61991687
138,Uganda,UGA,25296464547,32123146556,4.397875622
139,Ukraine,UKR,1.03147E+11,1.1625E+11,19.1778942
140,United States,USA,1.68469E+13,1.96585E+13,1.553022744
141,Uruguay,URY,48035564477,60098222344,8.002459897
142,Vanuatu,VUT,796936032.2,848617108.7,2.300669615
143,Vietnam,VNM,1.78122E+11,2.84436E+11,2.631031539
144,Zambia,ZMB,18444390991,23540697735,10.24050458
145,Africa Eastern and Southern,AFE,7.77938E+11,9.67325E+11,5.412393592
146,Africa Western and Central,AFW,6.05222E+11,7.40466E+11,1.78641636
147,Arab World,ARB,2.1608E+12,2.65449E+12,1.879946557
148,Caribbean small states,CSS,60854433519,74820037945,0.83218689
149,Central Europe and the Baltics,CEB,1.19955E+12,1.47906E+12,1.351090513
150,Early-demographic dividend,EAR,9.18314E+12,1.0989E+13,3.265423802
151,East Asia & Pacific,EAS,1.88583E+13,2.45209E+13,1.562491981
152,East Asia & Pacific (excluding high income),EAP,1.14724E+13,1.51331E+13,2.082612748
153,East Asia & Pacific (IDA & IBRD countries),TEA,1.14579E+13,1.51136E+13,2.082612748
154,Euro area,EMU,1.04869E+13,1.26891E+13,0.950294584
155,Europe & Central Asia,ECS,1.78667E+13,2.1732E+13,1.290506083
156,Europe & Central Asia (excluding high income),ECA,2.44055E+12,3.0497E+12,3.019005503
157,Europe & Central Asia (IDA & IBRD countries),TEC,3.11167E+12,3.85127E+12,2.608297826
158,European Union,EUU,1.22159E+13,1.47761E+13,0.983985768
159,Fragile and conflict affected situations,FCS,1.32698E+12,1.67643E+12,2.51587011
160,Heavily indebted poor countries (HIPC),HPC,5.95653E+11,7.60154E+11,3.829794413
161,High income,HIC,4.30148E+13,5.18273E+13,1.143513483
162,IBRD only,IBD,2.2553E+13,2.85076E+13,2.932480675
163,IDA & IBRD total,IBT,2.43589E+13,3.07013E+13,2.994030322
164,IDA blend,IDB,8.28781E+11,1.00913E+12,1.692790308
165,IDA only,IDX,9.77662E+11,1.18396E+12,3.331302337
166,IDA total,IDA,1.80482E+12,2.1931E+12,3.047585812
167,Late-demographic dividend,LTE,1.58975E+13,2.06872E+13,1.869816805
168,Latin America & Caribbean,LCN,4.59231E+12,5.55505E+12,2.05602997
169,Latin America & Caribbean (excluding high income),LAC,3.95637E+12,4.73411E+12,2.604011742
170,Latin America & the Caribbean (IDA & IBRD countries),TLA,4.42553E+12,5.31601E+12,2.568105743
171,Least developed countries: UN classification,LDC,8.79675E+11,1.05472E+12,4.269348549
172,Low & middle income,LMY,2.32347E+13,2.93222E+13,3.098962772
173,Low income,LIC,3.68217E+11,4.81209E+11,5.339575391
174,Lower middle income,LMC,6.11655E+12,7.27316E+12,3.547356678
175,Middle East & North Africa,MEA,2.70735E+12,3.32387E+12,1.566680315
176,Middle East & North Africa (excluding high income),MNA,1.13323E+12,1.43276E+12,2.869794745
177,Middle East & North Africa (IDA & IBRD countries),TMN,1.12103E+12,1.41698E+12,3.217074392
178,Middle income,MIC,2.28664E+13,2.88421E+13,2.882804333
179,North America,NAC,1.81861E+13,2.13058E+13,1.613349345
180,OECD members,OED,4.21397E+13,5.06845E+13,1.255557765
181,Other small states,OSS,3.11552E+11,4.02375E+11,1.944235777
182,Pacific island small states,PSS,8819213373,10061573821,1.512221208
183,Post-demographic dividend,PST,3.98239E+13,4.7793E+13,1.212896806
184,Pre-demographic dividend,PRE,1.06073E+12,1.31594E+12,3.676007246
185,Small states,SST,3.81087E+11,4.87256E+11,1.524542188
186,South Asia,SAS,2.84221E+12,3.26753E+12,3.96204392
187,South Asia (IDA & IBRD),TSA,2.84221E+12,3.26753E+12,3.96204392
188,Sub-Saharan Africa,SSF,1.38263E+12,1.70779E+12,4.21008321
189,Sub-Saharan Africa (excluding high income),SSA,1.3814E+12,1.70623E+12,4.246606634
190,Sub-Saharan Africa (IDA & IBRD countries),TSS,1.38263E+12,1.70779E+12,4.21008321
191,Upper middle income,UMC,1.67498E+13,2.15689E+13,2.188395574
192,World,WLD,6.6481E+13,8.14304E+13,1.960396452
