,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
22,Bhutan,BTN,520849551.5,604041957.9,682523857.0,796938120.2,874989895.6,1168308517.0,1227808791.0,1234014292.0,1547991318.0,1777101317.0,1781281282.0,1756215665.0,1907090813.0,2003598213.0,2158972129.0,2450364928.0,2446866405.0,2535657069.0
23,Bolivia,BOL,7905485146.0,8082364816.0,8773451752.0,9549077919.0,11451869202.0,13120183208.0,16674324662.0,17339992194.0,19649631308.0,23963033429.0,27084497482.0,30659338886.0,32996188017.0,33000198248.0,33941126200.0,37508642165.0,40287647930.0,40895322844.0
24,Bosnia and Herzegovina,BIH,6728771319.0,8498560877.0,10157553968.0,11222953329.0,12864610865.0,15778767390.0,19112739365.0,17613836494.0,17176781066.0,18644723861.0,17226849166.0,18178503835.0,18558343305.0,16211541593.0,16913330977.0,18080118186.0,20183510863.0,20202479538.0
25,Botswana,BWA,5438857107.0,7511582173.0,8957467707.0,9918907108.0,9919158482.0,10567270656.0,10730763099.0,10118518637.0,12637319933.0,15110716534.0,13907510006.0,14271752527.0,15470059202.0,13530738158.0,15082579074.0,16105182316.0,17031901441.0,16695928793.0
26,Brazil,BRA,509789000000.0,558229000000.0,669294000000.0,891630000000.0,1107640000000.0,1397080000000.0,1695820000000.0,1667020000000.0,2208870000000.0,2616200000000.0,2465190000000.0,2472810000000.0,2455990000000.0,1802210000000.0,1795700000000.0,2063510000000.0,1916950000000.0,1873270000000.0
28,Brunei Darussalam,BRN,5843329108.0,6557333085.0,7872333215.0,9531402848.0,11470703002.0,12247694247.0,14393099069.0,10732366286.0,13707370737.0,18525319978.0,19047940301.0,18093829923.0,17098342541.0,12930394938.0,11400854268.0,12128104859.0,13567351175.0,13469422959.0
29,Bulgaria,BGR,16402846413.0,21144982397.0,26157892832.0,29869284035.0,34379808889.0,44432811756.0,54481376860.0,52023505367.0,50682061053.0,57678241024.0,54300857424.0,55810138436.0,57082011260.0,50781996713.0,53953897624.0,59199447421.0,66363537115.0,68915875215.0
30,Burkina Faso,BFA,3622350204.0,4740768355.0,5451688868.0,6146352742.0,6547420134.0,7625723124.0,9451436359.0,9450697336.0,10109618964.0,12080296644.0,12561016091.0,13444301139.0,13943016924.0,11832159276.0,12833363370.0,14106956830.0,15890065020.0,16178162030.0
31,Burundi,BDI,825394490.2,784654423.6,915257323.4,1117113046.0,1273375020.0,1356199365.0,1611835902.0,1781455092.0,2032135247.0,2235820868.0,2333341375.0,2451606684.0,2705783272.0,3104003611.0,2639321161.0,2712324134.0,2660123598.0,2576518846.0
32,Cabo Verde,CPV,620507562.1,813260468.9,924940272.4,972241336.9,1107571017.0,1513040065.0,1787968044.0,1697737296.0,1663913071.0,1865915544.0,1741809809.0,1850470042.0,1859898513.0,1596800287.0,1663008687.0,1769787215.0,1966501118.0,1981845741.0
33,Cambodia,KHM,4284028483.0,4658246918.0,5337833248.0,6293046162.0,7274595707.0,8639235842.0,10351914093.0,10401851851.0,11242275199.0,12829541141.0,14054443213.0,15227991395.0,16702610842.0,18049954289.0,20016747754.0,22177200512.0,24571753583.0,27089389787.0
34,Cameroon,CMR,12417251816.0,15970315751.0,18826215278.0,19509850837.0,20910513975.0,23928251334.0,27715144580.0,27932971683.0,27507499709.0,30630912185.0,30155064574.0,33728622819.0,36386546918.0,32210232912.0,33814337900.0,36098550142.0,39973839065.0,39670977333.0
35,Canada,CAN,760649000000.0,895541000000.0,1026690000000.0,1173110000000.0,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,1556510000000.0,1527990000000.0,1649270000000.0,1725330000000.0,1742020000000.0
37,Central African Republic,CAF,996068183.7,1142315574.0,1272360595.0,1337894285.0,1461859832.0,1699811359.0,1993408072.0,2067381766.0,2142591376.0,2437982840.0,2510126699.0,1691544192.0,1894813505.0,1695825708.0,1825018191.0,2072349794.0,2220978978.0,2221301401.0
38,Chad,TCD,1997005787.0,2742815195.0,4422855929.0,6649307057.0,7428701809.0,8650138069.0,10393834721.0,9290728773.0,10668102735.0,12172309523.0,12367363678.0,12953535496.0,13940768066.0,10950392220.0,10097778354.0,10000395242.0,11239167048.0,11314951343.0
40,Chile,CHL,70294892400.0,76507577235.0,99079230170.0,122315000000.0,153840000000.0,172566000000.0,179663000000.0,171413000000.0,217105000000.0,251225000000.0,267176000000.0,277239000000.0,259405000000.0,242497000000.0,249299000000.0,276365000000.0,295403000000.0,278585000000.0
41,China,CHN,1470550000000.0,1660290000000.0,1955350000000.0,2285970000000.0,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,11061600000000.0,11233300000000.0,12310400000000.0,13894800000000.0,14279900000000.0
42,Colombia,COL,97963003805.0,94641378693.0,117082000000.0,145619000000.0,161619000000.0,206182000000.0,242187000000.0,232398000000.0,286563000000.0,334944000000.0,370921000000.0,382116000000.0,381112000000.0,293482000000.0,282825000000.0,311884000000.0,334198000000.0,323110000000.0
43,Comoros,COM,425964697.4,546885185.0,633706149.3,653845122.9,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184.0,1015843369.0,1116224161.0,1149587652.0,966029542.0,1012835518.0,1077439663.0,1188797575.0,1195019559.0
44,"Congo, Dem. Rep.",COD,8728038525.0,8937567060.0,10297483481.0,11964484668.0,14451902468.0,16737071816.0,19788515874.0,18648373312.0,21565720044.0,25839749199.0,29306235826.0,32679745298.0,35909040266.0,37917704900.0,37134799975.0,38019265626.0,47568210069.0,51775830726.0
45,"Congo, Rep.",COG,3034251042.0,3503723245.0,4656975223.0,6650001214.0,8072305415.0,8782703767.0,11649858744.0,9723300391.0,13148395202.0,15655384440.0,17692912613.0,17958721572.0,17912908766.0,11890259136.0,10219341277.0,11094822713.0,13670036996.0,12750339023.0
46,Costa Rica,CRI,16578820687.0,17271760507.0,18610594846.0,20040642477.0,22715540324.0,26884700345.0,30801744881.0,30745712007.0,37658614803.0,42762617082.0,47231651863.0,50949672206.0,52016408951.0,56441917653.0,58847016045.0,60516043590.0,62420165100.0,64417670083.0
47,Cote d'Ivoire,CIV,18054384023.0,21251755294.0,23510577108.0,24036917017.0,25281414473.0,28760092034.0,34078243426.0,33886814907.0,34936305297.0,36693712825.0,36302305578.0,42760237561.0,48843008580.0,45814637971.0,47964234560.0,51588158718.0,58011466451.0,58539424930.0
48,Croatia,HRV,27085262279.0,35022903387.0,42013459302.0,45835098188.0,50915016294.0,60641942979.0,70943300079.0,63324394634.0,60672093865.0,63408294943.0,57369359295.0,59032066092.0,58423981441.0,50242783066.0,52397494687.0,56323836170.0,62316840750.0,62327983580.0
49,Cuba,CUB,33590500000.0,35901200000.0,38203000000.0,42643836100.0,48835925926.0,54262870370.0,56302129630.0,57481481481.0,59562962963.0,68990000000.0,73141000000.0,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0,100050000000.0,103428000000.0
51,Cyprus,CYP,11420227885.0,14547325028.0,17320552500.0,18433411267.0,20072786351.0,23968764030.0,27844698989.0,25945391775.0,25800247912.0,27642086581.0,25048659900.0,23961144906.0,23226782251.0,19909190059.0,21046951516.0,22946726164.0,25596474965.0,25944504646.0
52,Czechia,CZE,82196001051.0,100090000000.0,119814000000.0,137143000000.0,156264000000.0,190184000000.0,236816000000.0,207434000000.0,209070000000.0,229563000000.0,208858000000.0,211686000000.0,209359000000.0,188033000000.0,196272000000.0,218629000000.0,249001000000.0,252548000000.0
53,Denmark,DNK,178635000000.0,218096000000.0,251373000000.0,264467000000.0,282885000000.0,319423000000.0,353361000000.0,321241000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,302673000000.0,313116000000.0,332121000000.0,356841000000.0,346499000000.0
54,Djibouti,DJI,591122039.6,622044665.5,666072101.8,708633194.7,768873684.0,847918929.1,999105339.3,1049110685.0,1128611700.0,1239144502.0,1353632942.0,2042817163.0,2214679081.0,2424391785.0,2604955229.0,2762581334.0,2913466732.0,3088853639.0
55,Dominica,DMA,333196296.3,343311111.1,367200000.0,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037.0,576229629.6,521551851.9,554770370.4,611537037.0
56,Dominican Republic,DOM,27137508657.0,21403167848.0,22322395368.0,35777570136.0,37879869898.0,43965420072.0,48122547177.0,48261033298.0,53860175556.0,58029750746.0,60681537196.0,62682163837.0,67179914027.0,71164825257.0,75704720190.0,79997975622.0,85555378043.0,88941299734.0
57,Ecuador,ECU,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726000000.0,99290381000.0,99937696000.0,104296000000.0,107562000000.0,108108000000.0
58,"Egypt, Arab Rep.",EGY,85146067416.0,80288461538.0,78782467532.0,89600665557.0,107426000000.0,130438000000.0,162818000000.0,189147000000.0,218984000000.0,235990000000.0,279117000000.0,288434000000.0,305595000000.0,329367000000.0,332442000000.0,235734000000.0,249713000000.0,303081000000.0
